,,,,,,Parâmetros por defeito quando exercício introduzido isoladamente (editável),,,,,"Filtro ""Equipamento""",,,"Filtro ""Movimento""","Categoria ""Região""",,
Order,Nome do exercício,Objetivo (5 a 80 caracteres),Instruções paciente (5 a 400 caracteres),Code,Imagem,Séries,Repetições,Pausa (hh:mm:ss),Carga (quilos),Duração (hh:mm:ss),"""Com equipamento""","""Sem equipamento""",Qual,Movimentos,Região,Posição,Preplan
1,Massagem do osso hioide,"Melhorar a tensão
muscular na região da laringe ou tensão vocal","Encontre o osso hióide logo abaixo do queixo. Mantenha os dedos em ambos os lados doosso hioide.
Massaje com movimentos circulares e uma ligeira pressão.",HYOID_BONE_MASSAGE,,1,,,,2m,0,1,,Multimovimento,Cervical,"Em pé 
Sentado",Reabilitação vocal
2,Massagem cartilagem tireoideia - movimentos descendentes,"Melhorar a tensão
muscular na região da laringe ou tensão vocal","Coloque  o polegar e o indicador nas bordas laterais da cartilagem tireoideia. Mova-a suavemente de um lado para o outro. Pode sentir um “click”, o que é normal. Não deve sentir dor. Aplique uma leve pressão e massaje com movimento descendente.",,,1,,,,2m,0,1,,Multimovimento,Cervical,"Em pé 
Sentado",Reabilitação vocal
3,Massagem cartilagem tireoideia - movimentos laterais,"Melhorar a tensão
muscular na região da laringe ou tensão vocal","Coloque o polegar e o indicador nas bordas laterais da cartilagem tireoideia. Mova-a suavemente de um lado para o outro. Pode sentir um “click”, o que é normal. Não deve sentir dor. Aplique leve pressão e massaje com movimento descendente, aplicando em simultâneo pequenos movimentos laterais com os dedos.",,,1,,,,2m,0,1,,Multimovimento,Cervical,"Em pé 
Sentado",Reabilitação vocal
4,Massagem cartilagem tireoideia -  movimentos circulares,"Melhorar a tensão
muscular na região da laringe ou tensão vocal","Com o polegar e o indicador nas bordas laterais da cartilagem tireoideia, faça pequenos movimentos circulares. Pode realizar em silêncio ou cantar suavemente enquanto massaja a laringe, se for cantor. Mantenha o gesto leve e sem provocar dor ou desconforto.",,,1,,,,2m,0,1,,Multimovimento,Cervical,"Em pé 
Sentado",Reabilitação vocal
5,Técnica sons nasais - Tempo máximo fonação,Sons nasais reduzem o esforço laríngeo e difundem a ressonância vocal.,"Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire lentamente pela boca enquanto emite os sons nasais “M, N, NH” no tempo máximo de fonação.",,Imagen,1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
6,Técnica sons nasais - Unidades fonatórias,Sons nasais reduzem o esforço laríngeo e difundem a ressonância vocal.,"Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire pela boca e emita os sons “M, N, NH” em unidades fonatórias, fazendo pequenas pausas entre eles.",,Imagen,1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
7,Técnica sons nasais - Emissão durante mastigação,Sons nasais reduzem o esforço laríngeo e difundem a ressonância vocal.,"Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas.Mastigue lentamente com a boca fechada e, ao mesmo tempo, emita o som nasal “M”.",,Imagen,1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
8,Técnica sons nasais - Emissão de som em sequências,Sons nasais reduzem o esforço laríngeo e difundem a ressonância vocal.,"Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire lentamente pela boca enquanto emite as seguintes sequências em sons nasais.",,Imagen,1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
9,Técnica sons nasais - Emissão de sons em escala,Sons nasais reduzem o esforço laríngeo e difundem a ressonância vocal.,"Sente-se com a coluna reta, inspire pelo nariz expandindo o diafragma, com as mãos abaixo das costelas. Expire pela boca e emita os sons em escala, como o som de uma sirene, subindo e descendo gradualmente a entoação.",,"Como se fosse o som de uma sirene:
 
M ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
N ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",1,5,,,,0,1,,Multimovimento,Cervical,Sentado,Reabilitação vocal
