Programa,Tipo de regra,Prescrição da regra,Regra de alerta,codes,Gravidade,Gravidade Code,Origem,Composta,Questionnnaire code
Doente Renal Crónico,Composta,Parâmetro biométrico,92% < SpO2 % <= 95%,PEROXYSAT - BPOC_GREATER- 92,Moderado,BPOC_AVERAGE,Novo,1,
Doente Renal Crónico,Composta,Parâmetro biométrico,92% < SpO2 % <= 95%,PEROXYSAT - BPOC_LESSEQUAL- 95,Moderado,BPOC_AVERAGE,Novo,1,
Doente Renal Crónico,Simples,Parâmetro biométrico,SpO2 % < 92%,PEROXYSAT - BPOC_LESS- 92,Grave,BPOC_HIGH,Novo,2,
Doente Renal Crónico,Simples,Parâmetro biométrico,PA sistólica < 85 mmHg,SYSBLOPRE-BPOC_LESS-85,Grave,BPOC_HIGH,Novo,3,
Doente Renal Crónico,Composta,Parâmetro biométrico,85 mmHg >= PA sistólica,SYSBLOPRE-BPOC_GREATEREQUAL-85,Moderado,BPOC_AVERAGE,Novo,4,
Doente Renal Crónico,Composta,Parâmetro biométrico,PA sistólica < 95 mmHg,SYSBLOPRE-BPOC_LESS-95,Moderado,BPOC_AVERAGE,Novo,4,
Doente Renal Crónico,Composta,Parâmetro biométrico,150 mmHg > PA sistólica,SYSBLOPRE-BPOC_LESS-150,Moderado,BPOC_AVERAGE,Novo,5,
Doente Renal Crónico,Composta,Parâmetro biométrico,PA sistólica <= 180 mmHg,SYSBLOPRE-BPOC_LESSEQUAL-180,Moderado,BPOC_AVERAGE,Novo,5,
Doente Renal Crónico,Simples,Parâmetro biométrico,PA sistólica > 180 mmHg,SYSBLOPRE-BPOC_GREATER-180,Grave,BPOC_HIGH,Novo,6,
Doente Renal Crónico,Simples,Parâmetro biométrico,PA diastólica < 50 mmHg,DIABLOPRE-BPOC_LESS-50,Grave,BPOC_HIGH,Novo,7,
Doente Renal Crónico,Composta,Parâmetro biométrico,50 mmHg >= PA diastólica,DIABLOPRE-BPOC_LESSEQUAL-50,Moderado,BPOC_AVERAGE,Novo,8,
,,,PA diastólica < 60 mmHg,DIABLOPRE-BPOC_LESS-60,,,,8,
